class,sensitivity,precision,f1,specificity
Cotton_Aphids,0.8166666666666667,0.784,0.8,0.993195564516129
Cotton_Army_worm,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9949596774193549
Cotton_Bacterial_Blight,0.725,0.7016129032258065,0.7131147540983607,0.9906754032258065
Cotton_Healthy,0.875,0.8333333333333334,0.8536585365853658,0.9947076612903226
Cotton_Powdery_mildew,0.7583333333333333,0.8666666666666667,0.8088888888888889,0.9964717741935484
Cotton_Target_Spot,0.6440677966101694,0.6608695652173913,0.6523605150214592,0.990176322418136
Wheat_Brown_rust,0.9629629629629629,0.9774436090225563,0.9701492537313433,0.9992410827219833
Wheat_Healthy,0.0,0.0,0.0,1.0
Wheat_Yellow_rust,1.0,0.965034965034965,0.9822064056939501,0.9987341772151899
Potato_Early_blight,1.0,1.0,1.0,1.0
Potato_Late_blight,0.9866666666666667,0.9932885906040269,0.9899665551839465,0.999746063991874
Potato_Healthy,1.0,1.0,1.0,1.0
Bell_Pepper_Bacterial_spot,0.9866666666666667,0.9932885906040269,0.9899665551839465,0.999746063991874
Bell_Pepper_Healthy,1.0,0.9910714285714286,0.9955156950672646,0.999482669425763
Tomato_Bacterial_spot,0.9905956112852664,0.9937106918238994,0.9921507064364207,0.9994693552666489
Tomato_Early_blight,0.9533333333333334,0.9727891156462585,0.9629629629629629,0.9989842559674962
Tomato_Late_blight,0.9790940766550522,0.9825174825174825,0.9808027923211169,0.9986845566956064
Tomato_Leaf_mold,0.993006993006993,1.0,0.9964912280701754,1.0
Tomato_Septoria_leaf_spot,1.0,0.9962406015037594,0.9981167608286252,0.999738425320429
Tomato_Spider_mites,1.0,0.9960474308300395,0.998019801980198,0.9997393117831074
Tomato_Target_spot,0.9904761904761905,0.985781990521327,0.9881235154394299,0.9992264053635895
Tomato_Yellowleaf_curl_virus,0.9958419958419958,0.9937759336099585,0.9948078920041536,0.9991682838924314
Tomato_Mosaic_virus,1.0,1.0,1.0,1.0
Tomato_Healthy,1.0,0.991701244813278,0.9958333333333333,0.9994803845154585
