accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,notebook,train_time_sec,peak_mem_mb,total_params
0.6611893773078918,5.543781757354736,0.49635037779808044,61.85313034057617,0.0010000000474974513,1,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.7449139356613159,3.386254072189331,0.7700729966163635,2.021003007888794,0.0009990133112296462,2,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.7809076905250549,2.536099910736084,0.5364963412284851,12.455859184265137,0.0009960572933778167,3,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8317683935165405,1.6325502395629883,0.5948905348777771,7.9385247230529785,0.0009911436354741454,4,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8184663653373718,1.1430362462997437,0.7116788029670715,1.1492047309875488,0.0009842915460467339,5,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8607198596000671,0.6153773665428162,0.8394160866737366,0.352002888917923,0.0009755282662808895,6,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8356807231903076,0.5476755499839783,0.8613138794898987,0.409320205450058,0.0009648882551118731,7,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8474178314208984,0.4484574794769287,0.9051094651222229,0.3014935255050659,0.0009524135384708643,8,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8794991970062256,0.36196064949035645,0.8211678862571716,0.5774743556976318,0.0009381533600389957,9,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8920187950134277,0.4095015227794647,0.8868613243103027,0.33188605308532715,0.0009221639484167099,10,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8779342770576477,0.33224552869796753,0.8284671306610107,0.4662730395793915,0.0009045085171237588,11,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8990610241889954,0.30974870920181274,0.8430656790733337,0.3925217390060425,0.000885256624314934,12,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9021909236907959,0.259721964597702,0.8759124279022217,0.29379111528396606,0.0008644842891953886,13,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.900626003742218,0.28814294934272766,0.8905109763145447,0.29227954149246216,0.0008422735263593495,14,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.8998435139656067,0.2979298233985901,0.8759124279022217,0.37765058875083923,0.0008187119965441525,15,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9021909236907959,0.2642485499382019,0.9160584211349487,0.2514292597770691,0.0007938925991766155,16,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9045383334159851,0.2318757325410843,0.8686131238937378,0.3669147789478302,0.0007679134141653776,17,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9100156426429749,0.24193821847438812,0.7554744482040405,0.7349758148193359,0.0007408768287859857,18,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9100156426429749,0.24383771419525146,0.6715328693389893,0.8387736678123474,0.000712889654096216,19,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9311423897743225,0.18516802787780762,0.7408758997917175,0.7431958913803101,0.0006840622518211603,20,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9381846785545349,0.20399610698223114,0.9416058659553528,0.18036803603172302,0.0006545084761455655,21,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
0.9217527508735657,0.1984630525112152,0.9343065619468689,0.20135661959648132,0.0006243449170142412,22,NB1_Wheat_Hybrid,413.91921854019165,719.788768,59775267
