accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,notebook,train_time_sec,peak_mem_mb,total_params
0.43282487988471985,1.8014614582061768,0.11717221140861511,4.5254645347595215,0.0010000000474974513,1,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.5839492678642273,1.2290540933609009,0.6362524628639221,1.0629643201828003,0.0009990133112296462,2,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.6561304330825806,0.992886483669281,0.49681997299194336,1.6622729301452637,0.0009960572933778167,3,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.6948157548904419,0.8684142231941223,0.4892368018627167,1.7853080034255981,0.0009911436354741454,4,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.7180374264717102,0.7936603426933289,0.4207436442375183,2.112334966659546,0.0009842915460467339,5,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.7523719668388367,0.6882879137992859,0.6416340470314026,1.193511724472046,0.0009755282662808895,6,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.7837710380554199,0.5943202376365662,0.590753436088562,1.416192889213562,0.0009648882551118731,7,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.7978717684745789,0.5542930960655212,0.569716215133667,1.5361355543136597,0.0009524135384708643,8,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8088797926902771,0.5258691310882568,0.6418786644935608,1.2647663354873657,0.0009381533600389957,9,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8278555274009705,0.47441792488098145,0.7270058989524841,0.8070949912071228,0.0009221639484167099,10,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8347748517990112,0.4508262872695923,0.701076328754425,1.060413122177124,0.0009045085171237588,11,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8453111052513123,0.4228046238422394,0.6624265909194946,1.2302970886230469,0.000885256624314934,12,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8531215786933899,0.4042915999889374,0.7595401406288147,0.7075138092041016,0.0008644842891953886,13,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8578392863273621,0.3950602114200592,0.8018590807914734,0.5832843780517578,0.0008422735263593495,14,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8690569996833801,0.3546760082244873,0.6455479264259338,1.4665650129318237,0.0008187119965441525,15,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8741416335105896,0.3528463542461395,0.6279354095458984,1.7997466325759888,0.0007938925991766155,16,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8811134099960327,0.33480513095855713,0.7057240605354309,0.9830935597419739,0.0007679134141653776,17,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8814278841018677,0.31983494758605957,0.5220156311988831,2.3200953006744385,0.0007408768287859857,18,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8930649757385254,0.2982359230518341,0.8801369667053223,0.33692097663879395,0.000712889654096216,19,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.8961576819419861,0.287136971950531,0.8847847580909729,0.3286336064338684,0.0006840622518211603,20,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9017140865325928,0.26697444915771484,0.9077788591384888,0.2624046802520752,0.0006545084761455655,21,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.907113254070282,0.25874754786491394,0.9001957178115845,0.28483206033706665,0.0006243449170142412,22,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9101011753082275,0.2494468092918396,0.8669275641441345,0.3970598578453064,0.0005936906673014164,23,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9146616458892822,0.24069815874099731,0.9036203622817993,0.2590959072113037,0.0005626666243188083,24,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9125124216079712,0.2453850954771042,0.8967710137367249,0.3010527491569519,0.0005313952569849789,25,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9185930490493774,0.22805547714233398,0.9268590807914734,0.21539714932441711,0.0005000000237487257,26,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9281333684921265,0.20071162283420563,0.8480919599533081,0.47500094771385193,0.0004686047323048115,27,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
0.9260889887809753,0.19707787036895752,0.9090019464492798,0.24159954488277435,0.00043733339407481253,28,NB5_Combined_ResNet,1675.3238620758057,27.384768,741720
