class,sensitivity,precision,f1,specificity
Cotton_Aphids,0.5833333333333334,0.445859872611465,0.5054151624548736,0.8547579298831386
Cotton_Army_worm,0.7416666666666667,0.7478991596638656,0.7447698744769874,0.9499165275459098
Cotton_Bacterial_Blight,0.25,0.35714285714285715,0.29411764705882354,0.9098497495826378
Cotton_Healthy,0.7333333333333333,0.5146198830409356,0.6048109965635738,0.8614357262103506
Cotton_Powdery_mildew,0.675,0.5955882352941176,0.6328125,0.9081803005008348
Cotton_Target_Spot,0.226890756302521,0.5192307692307693,0.3157894736842105,0.9583333333333334
