class,sensitivity,precision,f1,specificity
Cotton_Aphids,0.7916666666666666,0.811965811965812,0.8016877637130801,0.9944556451612904
Cotton_Army_worm,0.9,0.9152542372881356,0.907563025210084,0.9974798387096774
Cotton_Bacterial_Blight,0.7916666666666666,0.7364341085271318,0.7630522088353414,0.9914314516129032
Cotton_Healthy,0.9083333333333333,0.8934426229508197,0.9008264462809917,0.9967237903225806
Cotton_Powdery_mildew,0.8833333333333333,0.8548387096774194,0.8688524590163934,0.9954637096774194
Cotton_Target_Spot,0.6949152542372882,0.780952380952381,0.7354260089686099,0.9942065491183879
Wheat_Brown_rust,0.9555555555555556,0.9699248120300752,0.9626865671641791,0.9989881102959778
Wheat_Healthy,0.0,0.0,0.0,1.0
Wheat_Yellow_rust,1.0,0.965034965034965,0.9822064056939501,0.9987341772151899
Potato_Early_blight,1.0,0.9933774834437086,0.9966777408637874,0.999746063991874
Potato_Late_blight,0.9933333333333333,0.9867549668874173,0.9900332225913622,0.9994921279837481
Potato_Healthy,1.0,1.0,1.0,1.0
Bell_Pepper_Bacterial_spot,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9994921279837481
Bell_Pepper_Healthy,1.0,0.9910714285714286,0.9955156950672646,0.999482669425763
Tomato_Bacterial_spot,0.9968652037617555,0.9906542056074766,0.99375,0.9992040328999735
Tomato_Early_blight,0.9466666666666667,0.9726027397260274,0.9594594594594594,0.9989842559674962
Tomato_Late_blight,0.9651567944250871,0.992831541218638,0.9787985865724381,0.9994738226782426
Tomato_Leaf_mold,1.0,1.0,1.0,1.0
Tomato_Septoria_leaf_spot,0.9924528301886792,0.9813432835820896,0.9868667917448405,0.9986921266021449
Tomato_Spider_mites,0.9880952380952381,0.996,0.9920318725099602,0.9997393117831074
Tomato_Target_spot,0.9809523809523809,0.9671361502347418,0.9739952718676123,0.9981949458483754
Tomato_Yellowleaf_curl_virus,0.997920997920998,0.995850622406639,0.9968847352024922,0.9994455225949542
Tomato_Mosaic_virus,1.0,1.0,1.0,1.0
Tomato_Healthy,0.99581589958159,0.9916666666666667,0.9937369519832986,0.9994803845154585
