class,sensitivity,precision,f1,specificity
Potato_Early_blight,0.9933333333333333,0.9867549668874173,0.9900332225913622,0.9993211133740665
Potato_Late_blight,0.9533333333333334,0.9407894736842105,0.9470198675496688,0.9969450101832994
Potato_Healthy,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.9990237552879921
Bell_Pepper_Bacterial_spot,0.9865771812080537,0.9932432432432432,0.98989898989899,0.999660671869698
Bell_Pepper_Healthy,0.995475113122172,1.0,0.9977324263038548,1.0
Tomato_Bacterial_spot,0.987460815047022,0.9968354430379747,0.9921259842519685,0.9996398991717681
Tomato_Early_blight,0.9266666666666666,0.9328859060402684,0.9297658862876255,0.9966055668703326
Tomato_Late_blight,0.9581881533101045,0.9581881533101045,0.9581881533101045,0.9957280170879317
Tomato_Leaf_mold,0.965034965034965,0.971830985915493,0.968421052631579,0.9986454453098544
Tomato_Septoria_leaf_spot,0.9736842105263158,0.9810606060606061,0.9773584905660377,0.9982332155477032
Tomato_Spider_mites,0.9761904761904762,0.9647058823529412,0.9704142011834319,0.9968354430379747
Tomato_Target_spot,0.9619047619047619,0.9395348837209302,0.9505882352941176,0.9954954954954955
Tomato_Yellowleaf_curl_virus,0.991701244813278,0.9937629937629938,0.9927310488058152,0.9988523335883703
Tomato_Mosaic_virus,1.0,1.0,1.0,1.0
Tomato_Healthy,1.0,1.0,1.0,1.0
